Name,Class1,Class2
Eirkia,Lord,
Seth,Paladin,
Franz,Cavalier,
Gilliam,Knight,
Vanessa,Pegasus Knight,
Moulder,Priest,
Ross,Fighter,Pirate
Garcia,Fighter,
Neimi,Archer,
Colm,Thief,
Artur,Monk,
Lute,Mage,
Natasha,Cleric,
Joshua,Myrmidon,
Ephraim,Lord,
Forde,Cavalier,
Kyle,Cavalier,
Tana,Pegasus Knight,
Amelia,Knight,Cavalier
Innes,Sniper,
Gerik,Mercenary,
Tethys,Dancer,
Marisa,Myrmidon,
L'Arachel,Troubadour,
Dozla,Berserker,
Saleh,Sage,
Ewan,Mage,Shaman
Cormag,Wyvern Rider,
Rennac,Rogue,
Duessel,Great Knight,
Knoll,Shaman,
Myrrh,Manakete,
Syrene,Falcon Knight,
